"TIV of arms exports to Spain, 1950-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 24 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,13,12,12,0,0,,,,,12,12,12,12,12,,,134
,Canada,,,,,,,,,,,,,,,,,,4,23,19,,,,,24,24,,,,15,7,,,,,,2,2,14,8,10,,,,4,4,,,2,,2,2,4,4,4,4,,,,,,,,,,,180
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,8
,France,,,,20,,40,20,,,1,40,20,,,20,40,67,25,,20,31,191,179,104,54,384,78,54,214,284,293,265,294,474,15,200,220,20,120,155,111,15,30,30,99,34,15,49,22,32,37,27,22,,5,20,,37,26,1,25,14,,,30,19,4640
,Germany (FRG),,,,38,13,,,28,3,,2,4,0,,,,,,,,,1,,,,20,38,116,,,8,48,27,24,,,,,,,,8,15,8,,88,86,2,3,3,13,13,2,8,42,215,136,173,211,146,217,92,67,77,52,84,2128
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,18
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,13,20,,0,1,2,18,18,27,23,4,,139
,Italy,,,,,,,8,8,8,8,8,9,9,9,9,17,,,,,,,,4,32,,,30,18,51,53,43,3,3,,,3,59,70,70,15,9,9,21,48,6,24,1,21,21,7,32,14,3,21,61,50,54,38,,8,4,3,,,,998
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,24,14,38,27,,14,14,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,151
,Norway,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,12,48,,,,,,,,,,,,,10,30,15,,,,,,,,,,,,125
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,18
,Sweden,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,4,4,7,,4,4,,,,,,,,,,,,,7,7,7,7,7,7,1,1,2,,,4,4,8,,,,0,,,91
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,115,115,,,20,15,,,,,,,,,,,,,,,,,,,,,,,3,3,,48,48,48,,1,1,1,1,2,,420
,United Kingdom,,,,,,,,,,5,,,,,,,,,,,,,,,,,110,,,5,114,45,,,,24,10,42,24,,,2,1,,,,31,24,11,91,87,,3,6,46,40,,,,,,,12,,,,732
,United States,1,,,20,76,178,241,252,126,281,181,80,46,4,32,344,211,250,106,148,206,409,565,769,471,617,484,56,243,241,167,230,176,92,73,114,873,983,1715,575,573,79,158,244,678,219,267,133,21,219,166,70,220,186,164,5,81,21,18,50,7,40,116,64,40,50,15524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1,,,78,89,218,269,288,136,295,231,112,55,14,60,401,277,279,128,187,237,601,751,886,580,1165,831,280,492,658,692,631,517,609,88,338,1111,1109,1958,859,709,112,212,303,855,359,429,228,99,386,334,168,289,253,315,363,315,337,346,235,290,181,238,176,127,153,25322
